Post,NEG,NEU,POS,Compound,Sentiment
"MILTON | OCT 5 2024 | 4 PM UPDATE
Here are some thoughts on Milton.
Obviously, things have moved very quickly over the last 24 hours. It's very important that you share all information about this storm with others as people's attention may be down because of the weekend & continued clean-up along the coast. At this point, I would stop all repair efforts along the coast. Don't put up anything new until this threat passes by. It's not worth the risk of ripping it all out again.
TD 14 was quickly upgraded to Tropical Storm Milton this morning. The storm is expected to be a slow mover over the next couple of days before beginning to accelerate toward Florida Monday. At this point the only way it exits the Gulf is through the state.
TRACK TRACK TRACK. It's CRUCIAL! The ""winds"" that you see listed on the storm's graphics are the maximum winds measured in the storm by the hurricane hunter aircraft. These winds are only VERY close to the center. As Milton becomes stronger, which it will, the strongest winds will CONTRACT or move close to, the center. This means that, for instance, if the winds reach 110 mph, that 110 mph wind will only be found within 5-10 miles of the eye on the right front side of the eye wall. The rest of the storm will feature winds that are MUCH less. The wind speeds drop quickly as you move away from the eye with, by far, the largest area of the storm being composed of tropical storm force winds, even if it's categorized as a hurricane. This is why the exact track is so important.
We are 4 days out from the storm. The NHC forecast is historically the most accurate. At this range, the average error is 125-150 miles. That's a HUGE range & will make an ENORMOUS difference in what any area experienced. A 150 mile difference could mean anything from Cat 3 winds & damaging surge to 50 mph winds & no surge at all, maybe even a reverse surge. We simply don't know where the eye will go, & for this one, unlike Helene, every mile the eye wobbles or moves will absolutely make a difference in who gets what & how much. I can't tell you what you'll get just yet.
Milton's position & track is basically the one we want to see the least for Tampa Bay. This kind of approach would definitely move water & the wind could be an issue too. The NHC has Milton making landfall with winds of 110 mph, a strong cat 2 but cat 3 starts at 111 mph. 
It's best to assume, & prepare for, Milton making landfall as a major category 3 hurricane or stronger & getting surprised with a weaker storm. 
The average error in intensity 4 days out is around 15 mph. That makes a big difference. The EURO keeps Milton a tropical storm while the GFS makes it a cat 2 hurricane. Some of the models make it stronger but overall I'd lean toward the GFS when it comes to intensity, it did better with Helene in that regard. 
It's also important to understand that we are still very early in the tracking process. I realize the cone looks huge & covers the whole state, but please understand that the worst part of the storm will only be 40-50 miles wide. The other 400 miles of storms will be substantially less strong. So although most that are in the cone now will get something from this storm, the VAST majority of people will not see the maximum impacts of the storms. Preparations however are best done for the worst assuming you're doing so out of an abundance of caution & that it's most likely that what your particular area gets will not be the worst. 
This is not the time to board up & really put plans into actions just yet. We're still in the watch & track phase. This is the time to get regular updates & maybe make some early plans so that when watches & warnings are issued you can put those plans into action. 
Do you have your hurricane kit? 
Did you use something from that kit in Helene that you need to replace? 
Do you know where all your window covers are? 
What about the hardware to attach them? 
Are your batteries fresh? 
Have any non-perishable food items expired? 
Have you backed up all important documents to the cloud? 
Do you have physical copies of those documents protected from wind & water so that they can be accessed if the internet is out & those backups are not accessible?
These are the types of things you could have been doing in May. If you didn't & are feeling some nervous energy, use it to get the basics covered now. 
I'll be posting updates & insights throughout the day & weekend.
#milton #hurricane #flwx #florida #storm #severeweather",0.051,0.867,0.082,0.9691,POS
Update on the latest on Milton for Saturday afternoon.,0.0,1.0,0.0,0.0,NEU
"Tropical Storm Milton 5pm Track:  Obviously, not a great track for the Bay Area. Remember, this far out, the average margin of error is 150 miles. So, the entire West coast of Florida is still in play for landfall. Latest track has bumped up intensity 5 mph making Milton a Cat 3 hurricane at landfall. Surge and strongest winds will be along and just SOUTH of where the eye makes landfall. There will be a swath of 5-10 miles that will see the extreme impacts. You've got to prepare as if where you live will be in that zone. Obviously, the odds are higher that it will be elsewhere considering the large margin of error this far out, but DO NOT underestimate or minimize potential threat with this system. We will update 24/7 and our 1st DPL will stream at 7pm on Facebook tonight and our ABC Action News Streaming Channel.",0.067,0.894,0.038,-0.6668,NEG
NEW | NHC now forecasts Milton will make landfall as a major hurricane on the Florida west coast Wednesday. Here is the latest in 90 seconds. #milton #hurricane #florida #tampa #tampabay #severeweather #SevereWeather #SevereWeatherPreparedness #SevereWeatherAlert,0.0,1.0,0.0,0.0,NEU
"How’s everyone doing? Taking deep breaths? What’s your stress level over this next possible storm on a scale from 1-10, 10 being max stress",0.221,0.779,0.0,-0.7149,NEG
"Even before Milton approached the west coast of Florida on Wednesday, our area will see quite a bit of rain, some of which is already moving in. Plenty of it will fall at times Sun-Tue leaving us with 4""+ in some spots.",0.0,1.0,0.0,0.0,NEU
"SAT OCT 5 | 10 pm
Quick check of the spaghetti plot this evening yields no extra clarity. Models jumping all over the place. It’s interesting to see that although many are clustering north, there continues to be some that point more south into South Florida with a break in-between. That’s interesting. Typically, if there is little agreement, you get a “shot gun” type spread in the model tracks, with the lines equally spread over a wide area. Here we seem to have two groupings. A track more to the south, into the Everglades is a bad deal for south Florida but it definitely helps those on the west coast. Time will tell.",0.033,0.843,0.124,0.8626,POS
"I know you’ve been seeing a ton of Milton maps out there, some even zoomed all the way down into the Bay area. All of them showing positions & lines. That middle line is really a hurdle for our brain making it difficult to ignore. The line connects points, the positions from the NHC which are drawn out in time. The positions are nearly places in the middle of a line that shows the width of the forecast cone which highlights the area the eye stays in 2/3 of the time. The lines get longer as the cone gets wider as the average error grows to 150 miles this far out. The lines are drawn at time intervals & which ones are shown is decided by the person making the map. 
You see, maps are all inherently wrong. There is no perfectly accurate map. That’s because maps are 2D & the world is in 3D. No matter how you draw a map, & which type of map you choose to use, you’re always throwing something off, distorting some truth, skewing reality. Of course, only the map maker knows these faults. Nowhere on the map does it say what to watch out for. Our brains analyze the image & naturally follow the cone mid-way through, drawing that track line down the middle whether it’s there or not. 
I would really prefer that the NHC forecast just look like this. The cone, & position markings for the lines drawn at specific intervals indicating where the eye may be 24, 48 or 72 hours from now. No mid-point line, no position icons. 
Why? Well, the storm doesn’t move in straight lines. It doesn’t perfectly cut right down the middle of the cone as if it knew the average of the spaghetti plot & just chose the most likely route. Storms are erratic. They’re not on a track, & certainly not on a line. They wobble & slide, take two steps forward and a half step back. They’re chaotic, random & full of imperfect motion. The map, with its cone, positions & center line try to smooth all that out, take out the chaos, the imperfections, the uncertainties, sometimes to a fault. Smoothing the twist & turns, eases our brains into a satisfying level of organization & reason that convince us that what we’re seeing is a true projection of reality, the actual track. 
Nothing can be farther from the truth. The truth is the storm will take its own path from its current position to some future location off the Florida east coast. At times its path will follow the GFS, at others the HWRF, then the EURO only to finish on a little UKMET just to keep it interesting. 
I’ll be here updating you on it all. Until then, don’t stress out about the exact track. No matter which track you see drawn on a map, I can guarantee the storm will not take any of them exactly.  
#milton #hurricane #storm #florida #tampa #tampabay #severeweather #SevereWeatherPreparedness #SevereWeatherAlert",0.091,0.835,0.073,-0.8568,NEG
"11pm Tropical Storm Milton Update:  New track is in. Milton is a bit stronger tonight.  No real changes to the thinking or track, though. . Milton is a small storm, which means it can strengthen (or weaken) quicker. NHC still has it as a Cat 3 as it makes landfall. Again, the average margin of error in track this far out is 150 miles. The pretty much includes most of the West coast of Florida. Hurricane Watches and Storm Surge watches will be issued for our area on Sunday. Updates 24/7 as always including overnight.",0.05,0.867,0.083,0.4939,POS
"The 11 pm advisory comes with a track update. There are no major changes.
Generally the NHC does not believe that Milton will ever make any kind of southward dip in its track like some of the models are indicating. 
The official forecast keeps Milton on a eastward motion over the next couple of days before turning more NE toward the west coast of Florida. Intensity forecast seems to be consolidating on a stronger storm. The NHC has chnaged little in its down intensity forecast keeping this a cat 2 hurricane even a bit after landfall somehwere on the Florida west coast. 
Next track update is at 5am. 
#milton #hurricane #floirda #tampa #tampabay",0.02,0.934,0.046,0.4404,POS
